Match #,Date,Player 1,Points Won,Player 2,Points Won,Rounds,Winner,P1 ID,P1 KScore,P1 Old,P1 Change,P1 New,P2 ID,P2 KScore,P2 Old,P2 Change,P2 New
34,5/10/2012,Nathan Walsh 1060,2,Justin Slater 1071,6,4.00,P2,1060,40,1462.99,-7.88,1455.11,1071,40,1500.00,7.88,1507.88
35,5/10/2012,Nathan Walsh 1060,5,Jon Conrad 1069,3,4.00,P1,1060,40,1455.11,8.95,1464.06,1069,40,1524.57,-8.95,1515.62
36,5/10/2012,Nathan Walsh 1060,4,Eric Miltenburg 1062,4,4.00,TIE,1060,40,1464.06,2.97,1467.03,1062,40,1516.01,-2.97,1513.04
37,5/10/2012,Nathan Walsh 1060,6,Jason Beierling 1063,2,4.00,P1,1060,40,1467.03,12.67,1479.70,1063,40,1513.74,-12.67,1501.07
38,5/10/2012,Nathan Walsh 1060,2,Rob Mader 1067,6,4.00,P2,1060,40,1479.70,-8.83,1470.87,1067,40,1500.00,8.83,1508.83
39,5/10/2012,Nathan Walsh 1060,4,Greg Matthison 1074,4,4.00,TIE,1060,40,1470.87,1.67,1472.54,1074,40,1500.00,-1.67,1498.33
40,5/10/2012,Rob Mader 1067,2,Jon Conrad 1069,6,4.00,P2,1067,40,1508.83,-9.61,1499.22,1069,40,1515.62,9.61,1525.23
41,5/10/2012,Rob Mader 1067,3,Eric Miltenburg 1062,5,4.00,P2,1067,40,1499.22,-4.20,1495.02,1062,40,1513.04,4.20,1517.24
42,5/10/2012,Rob Mader 1067,3,Jason Beierling 1063,5,4.00,P2,1067,40,1495.02,-4.65,1490.37,1063,40,1501.07,4.65,1505.72
43,5/10/2012,Rob Mader 1067,6,Greg Matthison 1074,2,4.00,P1,1067,40,1490.37,10.46,1500.83,1074,40,1498.33,-10.46,1487.87
44,5/10/2012,Rob Mader 1067,4,Jason Carter 1070,4,4.00,TIE,1067,40,1500.83,0.46,1501.29,1070,40,1508.83,-0.46,1508.37
45,5/10/2012,Rob Mader 1067,4,Brian Cook 1068,4,4.00,TIE,1067,40,1501.29,0.91,1502.20,1068,40,1517.13,-0.91,1516.22
46,5/10/2012,Rob Mader 1067,5,Justin Slater 1071,3,4.00,P1,1067,40,1502.20,5.33,1507.53,1071,40,1507.88,-5.33,1502.55
47,5/10/2012,Brian Cook 1068,2,Justin Slater 1071,6,4.00,P2,1068,40,1516.22,-10.79,1505.43,1071,40,1502.55,10.79,1513.34
48,5/10/2012,Brian Cook 1068,6,Jon Conrad 1069,2,4.00,P1,1068,40,1505.43,11.14,1516.57,1069,40,1525.23,-11.14,1514.09
49,5/10/2012,Brian Cook 1068,6,Eric Miltenburg 1062,2,4.00,P1,1068,40,1516.57,10.04,1526.61,1062,40,1517.24,-10.04,1507.20
50,5/10/2012,Brian Cook 1068,5,Jason Beierling 1063,3,4.00,P1,1068,40,1526.61,3.80,1530.41,1063,40,1505.72,-3.80,1501.92
51,5/10/2012,Brian Cook 1068,8,Greg Matthison 1074,0,4.00,P1,1068,40,1530.41,17.56,1547.97,1074,40,1487.87,-17.56,1470.31
52,5/10/2012,Brian Cook 1068,2,Jason Carter 1070,6,4.00,P2,1068,40,1547.97,-12.27,1535.70,1070,40,1508.37,12.27,1520.64
53,5/10/2012,Jon Conrad 1069,4,Jason Carter 1070,4,4.00,TIE,1069,40,1514.09,0.38,1514.47,1070,40,1520.64,-0.38,1520.26
54,5/10/2012,Jon Conrad 1069,4,Justin Slater 1071,4,4.00,TIE,1069,40,1514.47,-0.07,1514.40,1071,40,1513.34,0.07,1513.41
55,5/10/2012,Jon Conrad 1069,8,Eric Miltenburg 1062,0,4.00,P1,1069,40,1514.40,19.59,1533.99,1062,40,1507.20,-19.59,1487.61
56,5/10/2012,Jon Conrad 1069,4,Jason Beierling 1063,4,4.00,TIE,1069,40,1533.99,-1.84,1532.15,1063,40,1501.92,1.84,1503.76
57,5/10/2012,Jon Conrad 1069,6,Greg Matthison 1074,2,4.00,P1,1069,40,1532.15,6.48,1538.63,1074,40,1470.31,-6.48,1463.83
58,5/10/2012,Jason Beierling 1063,4,Greg Matthison 1074,4,4.00,TIE,1063,40,1503.76,-2.29,1501.47,1074,40,1463.83,2.29,1466.12
59,5/10/2012,Jason Beierling 1063,6,Jason Carter 1070,2,4.00,P1,1063,40,1501.47,11.08,1512.55,1070,40,1520.26,-11.08,1509.18
60,5/10/2012,Jason Beierling 1063,1,Justin Slater 1071,7,4.00,P2,1063,40,1512.55,-14.95,1497.60,1071,40,1513.41,14.95,1528.36
61,5/10/2012,Jason Beierling 1063,8,Eric Miltenburg 1062,0,4.00,P1,1063,40,1497.60,19.43,1517.03,1062,40,1487.61,-19.43,1468.18
62,5/10/2012,Eric Miltenburg 1062,2,Greg Matthison 1074,6,4.00,P2,1062,40,1468.18,-10.12,1458.06,1074,40,1466.12,10.12,1476.24
63,5/10/2012,Eric Miltenburg 1062,6,Jason Carter 1070,2,4.00,P1,1062,40,1458.06,12.92,1470.98,1070,40,1509.18,-12.92,1496.26
64,5/10/2012,Eric Miltenburg 1062,4,Justin Slater 1071,4,4.00,TIE,1062,40,1470.98,3.27,1474.25,1071,40,1528.36,-3.27,1525.09
65,5/10/2012,Jason Carter 1070,6,Greg Matthison 1074,2,4.00,P1,1070,40,1496.26,8.85,1505.11,1074,40,1476.24,-8.85,1467.39
66,5/10/2012,Jason Carter 1070,3,Justin Slater 1071,5,4.00,P2,1070,40,1505.11,-3.85,1501.26,1071,40,1525.09,3.85,1528.94
67,5/10/2012,Justin Slater 1071,6,Greg Matthison 1074,2,4.00,P1,1071,40,1528.94,6.49,1535.43,1074,40,1467.39,-6.49,1460.90
68,3/23/2013,Nathan Walsh 1060,4,Rex Johnston 1076,4,4.00,TIE,1060,40,1472.54,1.58,1474.12,1076,40,1500.00,-1.58,1498.42
69,3/23/2013,Nathan Walsh 1060,0,Ray Beierling 1064,8,4.00,P2,1060,40,1474.12,-17.24,1456.88,1064,40,1522.38,17.24,1539.62
70,3/23/2013,Nathan Walsh 1060,2,Roy Campbell 1086,6,4.00,P2,1060,40,1456.88,-7.53,1449.35,1086,40,1500.00,7.53,1507.53
71,3/23/2013,Nathan Walsh 1060,2,Fred Slater 1072,6,4.00,P2,1060,40,1449.35,-7.10,1442.25,1072,40,1500.00,7.10,1507.10
72,3/23/2013,Nathan Walsh 1060,4,Robert Bonnett 1075,4,4.00,TIE,1060,40,1442.25,3.29,1445.54,1075,40,1500.00,-3.29,1496.71
73,3/23/2013,Nathan Walsh 1060,4,Lloyd Wiseman 1077,4,4.00,TIE,1060,40,1445.54,3.11,1448.65,1077,40,1500.00,-3.11,1496.89
74,3/23/2013,Nathan Walsh 1060,4,Greg Matthison 1074,4,4.00,TIE,1060,40,1448.65,0.70,1449.35,1074,40,1460.90,-0.70,1460.20
75,3/23/2013,Nathan Walsh 1060,6,John Harvey 1073,2,4.00,P1,1060,40,1449.35,12.90,1462.25,1073,40,1500.00,-12.90,1487.10
76,3/23/2013,Nathan Walsh 1060,6,Jon Conrad 1069,2,4.00,P1,1060,40,1462.25,14.33,1476.58,1069,40,1538.63,-14.33,1524.30
77,3/23/2013,Jon Conrad 1069,6,John Harvey 1073,2,4.00,P1,1069,40,1524.30,7.87,1532.17,1073,40,1487.10,-7.87,1479.23
78,3/23/2013,Jon Conrad 1069,5,Rex Johnston 1076,3,4.00,P1,1069,40,1532.17,3.06,1535.23,1076,40,1498.42,-3.06,1495.36
79,3/23/2013,Jon Conrad 1069,4,Ray Beierling 1064,4,4.00,TIE,1069,40,1535.23,0.25,1535.48,1064,40,1539.62,-0.25,1539.37
80,3/23/2013,Jon Conrad 1069,5,Roy Campbell 1086,3,4.00,P1,1069,40,1535.48,3.39,1538.87,1086,40,1507.53,-3.39,1504.14
81,3/23/2013,Jon Conrad 1069,4,Fred Slater 1072,4,4.00,TIE,1069,40,1538.87,-1.82,1537.05,1072,40,1507.10,1.82,1508.92
82,3/23/2013,Jon Conrad 1069,8,Robert Bonnett 1075,0,4.00,P1,1069,40,1537.05,17.69,1554.74,1075,40,1496.71,-17.69,1479.02
83,3/23/2013,Jon Conrad 1069,8,Lloyd Wiseman 1077,0,4.00,P1,1069,40,1554.74,16.70,1571.44,1077,40,1496.89,-16.70,1480.19
84,3/23/2013,Jon Conrad 1069,8,Greg Matthison 1074,0,4.00,P1,1069,40,1571.44,13.81,1585.25,1074,40,1460.20,-13.81,1446.39
85,3/23/2013,Ray Beierling 1064,4,Greg Matthison 1074,4,4.00,TIE,1064,40,1539.37,-5.23,1534.14,1074,40,1446.39,5.23,1451.62
86,3/23/2013,Ray Beierling 1064,5,Rex Johnston 1076,3,4.00,P1,1064,40,1534.14,2.78,1536.92,1076,40,1495.36,-2.78,1492.58
87,3/23/2013,Ray Beierling 1064,4,John Harvey 1073,4,4.00,TIE,1064,40,1536.92,-3.29,1533.63,1073,40,1479.23,3.29,1482.52
88,3/23/2013,Ray Beierling 1064,4,Roy Campbell 1086,4,4.00,TIE,1064,40,1533.63,-1.69,1531.94,1086,40,1504.14,1.69,1505.83
89,3/23/2013,Ray Beierling 1064,6,Fred Slater 1072,2,4.00,P1,1064,40,1531.94,8.68,1540.62,1072,40,1508.92,-8.68,1500.24
90,3/23/2013,Ray Beierling 1064,6,Robert Bonnett 1075,2,4.00,P1,1064,40,1540.62,6.49,1547.11,1075,40,1479.02,-6.49,1472.53
91,3/23/2013,Ray Beierling 1064,8,Lloyd Wiseman 1077,0,4.00,P1,1064,40,1547.11,16.19,1563.30,1077,40,1480.19,-16.19,1464.00
92,3/23/2013,Fred Slater 1072,8,Robert Bonnett 1075,0,4.00,P1,1072,40,1500.24,18.41,1518.65,1075,40,1472.53,-18.41,1454.12
93,3/23/2013,Fred Slater 1072,6,Lloyd Wiseman 1077,2,4.00,P1,1072,40,1518.65,6.88,1525.53,1077,40,1464.00,-6.88,1457.12
94,3/23/2013,Fred Slater 1072,4,Greg Matthison 1074,4,4.00,TIE,1072,40,1525.53,-4.19,1521.34,1074,40,1451.62,4.19,1455.81
95,3/23/2013,Fred Slater 1072,8,Rex Johnston 1076,0,4.00,P1,1072,40,1521.34,18.35,1539.69,1076,40,1492.58,-18.35,1474.23
96,3/23/2013,Fred Slater 1072,4,Roy Campbell 1086,4,4.00,TIE,1072,40,1539.69,-1.94,1537.75,1086,40,1505.83,1.94,1507.77
97,3/23/2013,Fred Slater 1072,4,John Harvey 1073,4,4.00,TIE,1072,40,1537.75,-3.15,1534.60,1073,40,1482.52,3.15,1485.67
98,3/23/2013,John Harvey 1073,6,Robert Bonnett 1075,2,4.00,P1,1073,40,1485.67,8.19,1493.86,1075,40,1454.12,-8.19,1445.93
99,3/23/2013,John Harvey 1073,8,Rex Johnston 1076,0,4.00,P1,1073,40,1493.86,18.87,1512.73,1076,40,1474.23,-18.87,1455.36
100,3/23/2013,John Harvey 1073,4,Lloyd Wiseman 1077,4,4.00,TIE,1073,40,1512.73,-3.17,1509.56,1077,40,1457.12,3.17,1460.29
101,3/23/2013,John Harvey 1073,5,Greg Matthison 1074,3,4.00,P1,1073,40,1509.56,1.93,1511.49,1074,40,1455.81,-1.93,1453.88
102,3/23/2013,John Harvey 1073,4,Roy Campbell 1086,4,4.00,TIE,1073,40,1511.49,-0.21,1511.28,1086,40,1507.77,0.21,1507.98
103,3/23/2013,Greg Matthison 1074,2,Roy Campbell 1086,6,4.00,P2,1074,40,1453.88,-6.91,1446.97,1086,40,1507.98,6.91,1514.89
104,3/23/2013,Greg Matthison 1074,2,Robert Bonnett 1075,6,4.00,P2,1074,40,1446.97,-10.06,1436.91,1075,40,1445.93,10.06,1455.99
105,3/23/2013,Greg Matthison 1074,6,Lloyd Wiseman 1077,2,4.00,P1,1074,40,1436.91,11.34,1448.25,1077,40,1460.29,-11.34,1448.95
106,3/23/2013,Greg Matthison 1074,3,Rex Johnston 1076,5,4.00,P2,1074,40,1448.25,-4.59,1443.66,1076,40,1455.36,4.59,1459.95
107,3/23/2013,Robert Bonnett 1075,6,Lloyd Wiseman 1077,2,4.00,P1,1075,40,1455.99,9.59,1465.58,1077,40,1448.95,-9.59,1439.36
108,3/23/2013,Robert Bonnett 1075,5,Rex Johnston 1076,3,4.00,P1,1075,40,1465.58,4.68,1470.26,1076,40,1459.95,-4.68,1455.27
109,3/23/2013,Robert Bonnett 1075,2,Roy Campbell 1086,6,4.00,P2,1075,40,1470.26,-7.44,1462.82,1086,40,1514.89,7.44,1522.33
110,3/23/2013,Rex Johnston 1076,2,Roy Campbell 1086,6,4.00,P2,1076,40,1455.27,-6.19,1449.08,1086,40,1522.33,6.19,1528.52
111,3/23/2013,Rex Johnston 1076,6,Lloyd Wiseman 1077,2,4.00,P1,1076,40,1449.08,9.44,1458.52,1077,40,1439.36,-9.44,1429.92
112,3/23/2013,Lloyd Wiseman 1077,4,Roy Campbell 1086,4,4.00,TIE,1077,40,1429.92,5.53,1435.45,1086,40,1528.52,-5.53,1522.99
113,3/23/2013,Howard Martin 1078,8,Ab Leitch 1061,0,4.00,P1,1078,40,1500.00,18.71,1518.71,1061,40,1477.59,-18.71,1458.88
114,3/23/2013,Howard Martin 1078,4,Barry Kiggins 1079,4,4.00,TIE,1078,40,1518.71,-1.08,1517.63,1079,40,1500.00,1.08,1501.08
115,3/23/2013,Howard Martin 1078,6,Eric Miltenburg 1062,2,4.00,P1,1078,40,1517.63,7.52,1525.15,1062,40,1474.25,-7.52,1466.73
116,3/23/2013,Howard Martin 1078,6,Peter Tarle 1091,2,4.00,P1,1078,40,1525.15,8.55,1533.70,1091,40,1500.00,-8.55,1491.45
117,3/23/2013,Howard Martin 1078,4,Joe Richards 1082,4,4.00,TIE,1078,40,1533.70,-1.93,1531.77,1082,40,1500.00,1.93,1501.93
118,3/23/2013,Howard Martin 1078,4,Louis Gauthier 1080,4,4.00,TIE,1078,40,1531.77,-1.82,1529.95,1080,40,1500.00,1.82,1501.82
119,3/23/2013,Howard Martin 1078,6,Jamie Sala 1084,2,4.00,P1,1078,40,1529.95,8.28,1538.23,1084,40,1500.00,-8.28,1491.72
120,3/23/2013,Howard Martin 1078,2,Matt Brown 1081,6,4.00,P2,1078,40,1538.23,-12.19,1526.04,1081,40,1500.00,12.19,1512.19
121,3/23/2013,Howard Martin 1078,6,Reuben Jongsma 1083,2,4.00,P1,1078,40,1526.04,8.50,1534.54,1083,40,1500.00,-8.50,1491.50
122,3/23/2013,Ab Leitch 1061,4,Joe Richards 1082,4,4.00,TIE,1061,40,1458.88,2.47,1461.35,1082,40,1501.93,-2.47,1499.46
123,3/23/2013,Ab Leitch 1061,6,Louis Gauthier 1080,2,4.00,P1,1061,40,1461.35,12.32,1473.67,1080,40,1501.82,-12.32,1489.50
124,3/23/2013,Ab Leitch 1061,6,Jamie Sala 1084,2,4.00,P1,1061,40,1473.67,11.04,1484.71,1084,40,1491.72,-11.04,1480.68
125,3/23/2013,Ab Leitch 1061,5,Matt Brown 1081,3,4.00,P1,1061,40,1484.71,6.58,1491.29,1081,40,1512.19,-6.58,1505.61
126,3/23/2013,Ab Leitch 1061,8,Reuben Jongsma 1083,0,4.00,P1,1061,40,1491.29,20.01,1511.30,1083,40,1491.50,-20.01,1471.49
127,3/23/2013,Ab Leitch 1061,8,Peter Tarle 1091,0,4.00,P1,1061,40,1511.30,18.86,1530.16,1091,40,1491.45,-18.86,1472.59
128,3/23/2013,Ab Leitch 1061,2,Barry Kiggins 1079,6,4.00,P2,1061,40,1530.16,-11.67,1518.49,1079,40,1501.08,11.67,1512.75
129,3/23/2013,Ab Leitch 1061,5,Eric Miltenburg 1062,3,4.00,P1,1061,40,1518.49,2.04,1520.53,1062,40,1466.73,-2.04,1464.69
130,3/23/2013,Barry Kiggins 1079,8,Eric Miltenburg 1062,0,4.00,P1,1079,40,1512.75,17.25,1530.00,1062,40,1464.69,-17.25,1447.44
131,3/23/2013,Barry Kiggins 1079,6,Joe Richards 1082,2,4.00,P1,1079,40,1530.00,8.25,1538.25,1082,40,1499.46,-8.25,1491.21
132,3/23/2013,Barry Kiggins 1079,4,Louis Gauthier 1080,4,4.00,TIE,1079,40,1538.25,-2.79,1535.46,1080,40,1489.50,2.79,1492.29
133,3/23/2013,Barry Kiggins 1079,2,Jamie Sala 1084,6,4.00,P2,1079,40,1535.46,-13.13,1522.33,1084,40,1480.68,13.13,1493.81
134,3/23/2013,Barry Kiggins 1079,4,Matt Brown 1081,4,4.00,TIE,1079,40,1522.33,-0.96,1521.37,1081,40,1505.61,0.96,1506.57
135,3/23/2013,Barry Kiggins 1079,6,Reuben Jongsma 1083,2,4.00,P1,1079,40,1521.37,7.15,1528.52,1083,40,1471.49,-7.15,1464.34
136,3/23/2013,Barry Kiggins 1079,4,Peter Tarle 1091,4,4.00,TIE,1079,40,1528.52,-3.19,1525.33,1091,40,1472.59,3.19,1475.78
137,3/23/2013,Louis Gauthier 1080,3,Matt Brown 1081,5,4.00,P2,1080,40,1492.29,-4.18,1488.11,1081,40,1506.57,4.18,1510.75
138,3/23/2013,Louis Gauthier 1080,4,Reuben Jongsma 1083,4,4.00,TIE,1080,40,1488.11,-1.37,1486.74,1083,40,1464.34,1.37,1465.71
139,3/23/2013,Louis Gauthier 1080,4,Eric Miltenburg 1062,4,4.00,TIE,1080,40,1486.74,-2.25,1484.49,1062,40,1447.44,2.25,1449.69
140,3/23/2013,Louis Gauthier 1080,4,Joe Richards 1082,4,4.00,TIE,1080,40,1484.49,0.39,1484.88,1082,40,1491.21,-0.39,1490.82
141,3/23/2013,Louis Gauthier 1080,8,Peter Tarle 1091,0,4.00,P1,1080,40,1484.88,19.48,1504.36,1091,40,1475.78,-19.48,1456.30
142,3/23/2013,Louis Gauthier 1080,8,Jamie Sala 1084,0,4.00,P1,1080,40,1504.36,19.39,1523.75,1084,40,1493.81,-19.39,1474.42
143,3/23/2013,Matt Brown 1081,4,Jamie Sala 1084,4,4.00,TIE,1081,40,1510.75,-2.08,1508.67,1084,40,1474.42,2.08,1476.50
144,3/23/2013,Matt Brown 1081,8,Peter Tarle 1091,0,4.00,P1,1081,40,1508.67,17.01,1525.68,1091,40,1456.30,-17.01,1439.29
145,3/23/2013,Matt Brown 1081,4,Reuben Jongsma 1083,4,4.00,TIE,1081,40,1525.68,-3.42,1522.26,1083,40,1465.71,3.42,1469.13
146,3/23/2013,Matt Brown 1081,0,Eric Miltenburg 1062,8,4.00,P2,1081,40,1522.26,-24.12,1498.14,1062,40,1449.69,24.12,1473.81
147,3/23/2013,Matt Brown 1081,4,Joe Richards 1082,4,4.00,TIE,1081,40,1498.14,-0.42,1497.72,1082,40,1490.82,0.42,1491.24
148,3/23/2013,Eric Miltenburg 1062,2,Peter Tarle 1091,6,4.00,P2,1062,40,1473.81,-11.98,1461.83,1091,40,1439.29,11.98,1451.27
149,3/23/2013,Eric Miltenburg 1062,6,Joe Richards 1082,2,4.00,P1,1062,40,1461.83,11.69,1473.52,1082,40,1491.24,-11.69,1479.55
150,3/23/2013,Eric Miltenburg 1062,7,Jamie Sala 1084,1,4.00,P1,1062,40,1473.52,15.17,1488.69,1084,40,1476.50,-15.17,1461.33
151,3/23/2013,Eric Miltenburg 1062,6,Reuben Jongsma 1083,2,4.00,P1,1062,40,1488.69,8.88,1497.57,1083,40,1469.13,-8.88,1460.25
152,3/23/2013,Joe Richards 1082,2,Reuben Jongsma 1083,6,4.00,P2,1082,40,1479.55,-11.11,1468.44,1083,40,1460.25,11.11,1471.36
153,3/23/2013,Joe Richards 1082,2,Peter Tarle 1091,6,4.00,P2,1082,40,1468.44,-10.99,1457.45,1091,40,1451.27,10.99,1462.26
154,3/23/2013,Joe Richards 1082,6,Jamie Sala 1084,2,4.00,P1,1082,40,1457.45,10.22,1467.67,1084,40,1461.33,-10.22,1451.11
155,3/23/2013,Reuben Jongsma 1083,2,Jamie Sala 1084,6,4.00,P2,1083,40,1471.36,-11.16,1460.20,1084,40,1451.11,11.16,1462.27
156,3/23/2013,Reuben Jongsma 1083,7,Peter Tarle 1091,1,4.00,P1,1083,40,1460.20,15.12,1475.32,1091,40,1462.26,-15.12,1447.14
157,3/23/2013,Jamie Sala 1084,4,Peter Tarle 1091,4,4.00,TIE,1084,40,1462.27,-0.87,1461.40,1091,40,1447.14,0.87,1448.01
158,4/12/2014,Jon Conrad 1069,0,Jason Beierling 1063,8,4.00,P2,1069,40,1585.25,-23.88,1561.37,1063,40,1517.03,23.88,1540.91
159,4/12/2014,Jon Conrad 1069,4,Tom Johnston 1087,4,4.00,TIE,1069,40,1561.37,-3.50,1557.87,1087,40,1500.00,3.50,1503.50
160,4/12/2014,Jon Conrad 1069,4,Ab Leitch 1061,4,4.00,TIE,1069,40,1557.87,-2.14,1555.73,1061,40,1520.53,2.14,1522.67
161,4/12/2014,Jon Conrad 1069,4,Murray Perdue 1088,4,4.00,TIE,1069,40,1555.73,-3.18,1552.55,1088,40,1500.00,3.18,1503.18
162,4/12/2014,Jon Conrad 1069,6,Barry Kiggins 1079,2,4.00,P1,1069,40,1552.55,8.44,1560.99,1079,40,1525.33,-8.44,1516.89
163,4/12/2014,Jon Conrad 1069,6,Dennis Ernest 1089,2,4.00,P1,1069,40,1560.99,6.52,1567.51,1089,40,1500.00,-6.52,1493.48
164,4/12/2014,Jon Conrad 1069,8,Bob Jones 1090,0,4.00,P1,1069,20,1567.51,8.08,1575.59,1090,40,1500.00,-16.16,1483.84
165,4/12/2014,Jon Conrad 1069,0,Nathan Walsh 1060,8,4.00,P2,1069,20,1575.59,-12.78,1562.81,1060,40,1476.58,25.55,1502.13
166,4/12/2014,Jon Conrad 1069,2,Louis Gauthier 1080,6,4.00,P2,1069,20,1562.81,-6.12,1556.69,1080,40,1523.75,12.24,1535.99
167,4/12/2014,Jon Conrad 1069,3,Matt Brown 1081,5,4.00,P2,1069,20,1556.69,-4.18,1552.51,1081,40,1497.72,8.36,1506.08
